"Timestamp","How frequently do you utilize Valencia's bus service?","How would you rate the punctuality of buses in Valencia?","How would you rate the accessibility of bus stops in Valencia?","How would you rate the frequency of bus services in Valencia?","How would you rate the average travel time between different locations in Valencia when using the city's bus services?","How would you rate the availability of night transport in Valencia?","How would you rate the information provided by EMT to its users (application, information at the bus stops)?","What is your current residential neighborhood?","How would you rate the quality of bus connection between this crucial points in Valencia? [Ciudad de las Artes y las Ciencias <--> Beach]","How would you rate the quality of bus connection between this crucial points in Valencia? [Ciudad de las Artes y las Ciencias <--> Old Town]","How would you rate the quality of bus connection between this crucial points in Valencia? [Ciudad de las Artes y las Ciencias <--> Location of your stay]","How would you rate the quality of bus connection between this crucial points in Valencia? [Beach <--> Old Town]","How would you rate the quality of bus connection between this crucial points in Valencia? [Beach <--> Location of your stay]","How would you rate the quality of bus connection between this crucial points in Valencia? [Old Town  <--> Location of your stay]","Additional Comments"
"2024/04/13 3:34:37 pm EET","2-4 times a month","2","4","2","2","2","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","4","2","1","5","5","4",""
"2024/04/13 3:36:27 pm EET","2-4 times a week","4","5","2","4","1","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","1","5","3","5","5","I don't know / Not applicable","No public transport at night "
"2024/04/13 3:36:33 pm EET","2-4 times a month","3","2","1","5","1","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","5","3","4","4","5",""
"2024/04/13 3:36:53 pm EET","On a daily basis","2","2","1","1","1","1","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","2","4","1","2","3","4","An insufficient amount of bus routes (many places aren't at all well connected and you have to change one or two buses to get there); a lot of the time taking a bus and walking will take you the same amount of time; there's pretty much no night transportation even though there's supposed to be; the buses are very infrequent; most buses are too small which frequently results in the bus being completely full and people having to wait another 15-20 minutes for the next one."
"2024/04/13 3:38:04 pm EET","2-4 times a week","3","3","3","3","1","2","Benimaclet - (Benimaclet, Camino de Vera)","3","I don't know / Not applicable","4","I don't know / Not applicable","5","3",""
"2024/04/13 3:38:45 pm EET","Once in a month","4","4","3","3","3","5","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","3","3","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable",""
"2024/04/13 3:39:10 pm EET","2-4 times a week","5","5","5","5","3","4","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","3","3","3","3","4","4",""
"2024/04/13 3:40:26 pm EET","2-4 times a week","3","4","2","2","1","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","3","4","4","3","5","3",""
"2024/04/13 3:43:00 pm EET","2-4 times a week","3","4","3","3","2","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","4","2","I don't know / Not applicable","3","4","2",""
"2024/04/13 3:43:37 pm EET","2-4 times a week","4","4","4","3","1","2","Benimaclet - (Benimaclet, Camino de Vera)","4","4","5","5","I don't know / Not applicable","5","There are a lot of buses. They are good to get you from different districts to the center, but travelling between neighbourhoods is more difficult.  The buses for many are not very direct and it can take a lot of time"
"2024/04/13 3:44:15 pm EET","On a daily basis","4","5","4","4","1","2","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","2","3","2","4","5","I don't know / Not applicable",""
"2024/04/13 3:44:35 pm EET","2-4 times a week","2","2","1","2","1","2","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","3","2","3","1","2","2",""
"2024/04/13 3:45:17 pm EET","2-4 times a month","3","4","4","3","2","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","3","4","3","4","4",""
"2024/04/13 3:50:52 pm EET","On a daily basis","2","4","3","3","2","3","Benicalap - (Benicalap, Ciutat Fallera)","3","4","2","3","3","4",""
"2024/04/13 3:53:36 pm EET","2-4 times a week","3","3","4","5","4","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","5","3","3","5","5",""
"2024/04/13 3:53:46 pm EET","2-4 times a week","3","5","3","4","2","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","4","2","3","4","4",""
"2024/04/13 3:57:27 pm EET","Occasionally","4","2","2","3","2","3","Benimaclet - (Benimaclet, Camino de Vera)","3","3","2","3","4","I don't know / Not applicable","For me a big problem is the huge amount of people who are in a bus travel, specially in the hot hours. Should be more buses in that hours."
"2024/04/13 4:04:52 pm EET","2-4 times a week","4","5","5","4","1","3","L'Olivereta - (Nou Moles, Soternes, Tres Forques, La Fuensanta, La Llum)","5","5","5","5","5","5",""
"2024/04/13 4:05:16 pm EET","2-4 times a week","2","4","2","2","3","1","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","I don't know / Not applicable","2","I don't know / Not applicable","3","2","Just slow and not much information "
"2024/04/13 4:06:58 pm EET","2-4 times a week","5","5","5","5","5","5","Benimaclet - (Benimaclet, Camino de Vera)","I don't know / Not applicable","I don't know / Not applicable","2","I don't know / Not applicable","5","I don't know / Not applicable",""
"2024/04/13 4:08:29 pm EET","2-4 times a month","2","4","2","2","2","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","4","4","3","3","4","2",""
"2024/04/13 4:08:30 pm EET","2-4 times a week","4","5","4","5","1","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","5","5","5","5","5","5",""
"2024/04/13 4:08:45 pm EET","On a daily basis","2","5","1","3","1","1","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","4","I don't know / Not applicable","5","3","5","4","Lack of information about the hours of arrivals on the website and the bus stops"
"2024/04/13 4:17:49 pm EET","2-4 times a month","2","2","2","3","2","3","Benicalap - (Benicalap, Ciutat Fallera)","2","2","1","1","1","1","Getting on the bus only in front of them with the door. This increases stopping time at the bus stop. Add a ticket machine on the bus."
"2024/04/13 4:22:03 pm EET","2-4 times a month","3","5","3","2","2","2","Poblados del Sur - (Horno de Alcedo, Castellar-Oliveral, Pinedo, El Saler, El Palmar, El Perellonet, La Torre, Faitanar)","4","4","4","3","4","4",""
"2024/04/13 4:26:50 pm EET","On a daily basis","3","5","3","3","1","1","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","2","4","5","4","4","5","Night buses and night connection with the airport"
"2024/04/13 4:27:06 pm EET","On a daily basis","4","3","2","4","1","2","Ciutat Vella - (La Seu, La Xerea, El Carmen, El Pilar (Velluters), El Mercat, San Francisco)","2","1","1","2","2","1","There are no buses in the old town. The nearest bus stop is at least 12 minutes walk. "
"2024/04/13 4:34:31 pm EET","Occasionally","2","4","3","1","1","2","Benimaclet - (Benimaclet, Camino de Vera)","2","2","2","2","2","2","Answers regard buses, metro in Valencia is perfect 👌 "
"2024/04/13 4:37:23 pm EET","Occasionally","4","5","2","5","1","3","Benimaclet - (Benimaclet, Camino de Vera)","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable","5","5","I don't know / Not applicable",""
"2024/04/13 4:56:12 pm EET","2-4 times a week","3","4","2","1","2","5","Benimaclet - (Benimaclet, Camino de Vera)","I don't know / Not applicable","3","2","5","4","4",""
"2024/04/13 4:58:40 pm EET","2-4 times a week","2","4","3","3","2","2","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","2","3","1","2","3","3",""
"2024/04/13 5:07:06 pm EET","2-4 times a week","2","2","2","5","2","2","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","2","I don't know / Not applicable","I don't know / Not applicable","2","5","5",""
"2024/04/13 5:14:21 pm EET","On a daily basis","3","5","4","4","3","3","Eixample - (Ruzafa, Pla del Remei, Gran Vía)","5","4","5","3","3","4",""
"2024/04/13 5:57:31 pm EET","On a daily basis","2","4","1","3","2","2","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","3","I don't know / Not applicable","4","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable","Not many buses, often late. I have to mention that I appreciate that they are free for students."
"2024/04/13 6:04:37 pm EET","On a daily basis","4","5","3","2","1","4","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","4","4","4","4","3","4",""
"2024/04/13 6:16:00 pm EET","2-4 times a week","4","5","3","4","3","2","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","2","5","3","2","5","3",""
"2024/04/13 6:28:17 pm EET","On a daily basis","5","5","5","4","3","5","Eixample - (Ruzafa, Pla del Remei, Gran Vía)","4","5","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable",""
"2024/04/13 6:34:38 pm EET","2-4 times a week","2","3","1","4","1","3","Poblados del Oeste - (Benimámet, Beniferri)","3","4","2","4","I don't know / Not applicable","I don't know / Not applicable",""
"2024/04/13 6:38:36 pm EET","2-4 times a month","4","5","3","3","1","3","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","I don't know / Not applicable","I don't know / Not applicable","4","4","I don't know / Not applicable","4","No night transport "
"2024/04/13 6:41:47 pm EET","2-4 times a month","3","5","2","3","1","3","Benimaclet - (Benimaclet, Camino de Vera)","4","I don't know / Not applicable","4","I don't know / Not applicable","I don't know / Not applicable","2","Reliability of the service"
"2024/04/13 6:52:07 pm EET","2-4 times a week","2","4","2","3","1","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","4","4","4","4","4","4","Delays and buses not coming at all even thought the schedule says differently"
"2024/04/13 7:01:37 pm EET","2-4 times a week","2","5","3","4","2","2","Benimaclet - (Benimaclet, Camino de Vera)","3","4","1","3","5","5",""
"2024/04/13 7:25:25 pm EET","2-4 times a week","3","4","2","2","1","3","Ciutat Vella - (La Seu, La Xerea, El Carmen, El Pilar (Velluters), El Mercat, San Francisco)","3","3","3","3","3","2",""
"2024/04/13 7:43:26 pm EET","2-4 times a month","3","4","2","2","2","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","4","4","4","I don't know / Not applicable","5","I don't know / Not applicable","The bus is just very slow"
"2024/04/13 8:39:12 pm EET","2-4 times a week","2","3","3","3","1","4","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","2","3","1","3","4","3",""
"2024/04/13 8:39:34 pm EET","2-4 times a week","3","4","4","3","4","3","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","4","3","3","3","4","3",""
"2024/04/13 9:07:00 pm EET","On a daily basis","3","4","3","3","2","3","Quatre Carreres - (Monteolivete, En Corts, Malilla, Fuente de San Luis, Na Rovella, La Punta, Ciudad de las Artes y las Ciencias)","4","4","4","4","4","4","Insufficient number of busses past 23:00 (-> long wait times); Mobile app should offer more precise info about routes’ timetable."
"2024/04/13 9:33:23 pm EET","Occasionally","1","2","2","2","1","1","Benimaclet - (Benimaclet, Camino de Vera)","2","2","2","2","2","2","The buses never arrive"
"2024/04/13 11:18:28 pm EET","Occasionally","4","5","4","4","3","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","5","3","3","5","5","the app doesn't function well"
"2024/04/14 1:56:19 am EET","2-4 times a week","3","4","2","1","1","4","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","3","1","3","4","2",""
"2024/04/14 2:15:32 am EET","Occasionally","2","4","3","3","2","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","3","1","I don't know / Not applicable","I don't know / Not applicable","4",""
"2024/04/14 5:18:51 am EET","On a daily basis","2","5","5","4","4","4","Benimaclet - (Benimaclet, Camino de Vera)","3","3","3","3","3","3",""
"2024/04/14 10:52:57 am EET","On a daily basis","3","4","3","2","1","1","Eixample - (Ruzafa, Pla del Remei, Gran Vía)","3","3","3","2","2","5",""
"2024/04/14 10:59:40 am EET","On a daily basis","4","4","1","3","1","1","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","2","4","5","4","5","5",""
"2024/04/14 11:24:31 am EET","On a daily basis","3","5","4","4","3","4","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","I don't know / Not applicable","3","4","5","3",""
"2024/04/14 11:40:42 am EET","On a daily basis","4","4","4","3","2","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","I don't know / Not applicable","2","4","5","4",""
"2024/04/14 11:43:47 am EET","2-4 times a month","3","5","3","4","4","3","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","I don't know / Not applicable","I don't know / Not applicable","2","4","I don't know / Not applicable","4",""
"2024/04/14 1:21:57 pm EET","2-4 times a month","2","4","3","4","2","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","3","3","3","3","4",""
"2024/04/14 2:51:49 pm EET","Once in a month","2","5","4","2","2","3","Benimaclet - (Benimaclet, Camino de Vera)","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable",""
"2024/04/14 5:01:29 pm EET","2-4 times a month","4","4","2","1","2","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","3","1","3","4","4",""
"2024/04/14 8:27:42 pm EET","2-4 times a week","3","2","3","2","2","4","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","4","4","3","3","4","3","Not enough stops "
"2024/04/14 9:25:13 pm EET","On a daily basis","5","5","4","5","3","3","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","I don't know / Not applicable","4","1","4","5","5",""
"2024/04/14 10:20:52 pm EET","On a daily basis","3","5","4","3","1","2","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","2","4","1","4","4",""
"2024/04/15 1:53:53 am EET","On a daily basis","4","5","4","3","2","4","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","4","5","3","I don't know / Not applicable","5","5",""
"2024/04/15 11:03:46 am EET","2-4 times a week","3","5","3","3","2","1","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","I don't know / Not applicable","4","1","2","1","3",""
"2024/04/15 12:15:31 pm EET","2-4 times a month","3","4","4","1","2","4","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","3","4","5","2","5","4","Time tables are difficult to read and the bus ride always takes too much time"
"2024/04/15 10:56:59 pm EET","On a daily basis","2","4","2","3","1","1","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","5","4","4","3","4","3",""
"2024/04/16 11:10:18 am EET","On a daily basis","1","4","3","3","1","1","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","1","3","5","3","5","4","The key problem is that most of the buses don’t have a schedule and even if they have, during the night hours sometimes they just never show up, leaving you hopeless on the other side of the city."
"2024/04/16 11:25:33 am EET","On a daily basis","2","4","3","4","2","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","4","3","I don't know / Not applicable","4","I don't know / Not applicable","5","First, there’s no schedule so you can’t really plan your trip beforehand. You can use the app but it’s still more difficult. Also there’s almost no night transportation. If there are buses often come at different hours than stated. There should be night buses/metro available."
"2024/04/16 7:50:48 pm EET","2-4 times a week","2","5","3","1","1","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","2","4","4","4","5","4","The main problem is punctuality of the buses and their slow speed caused by frequent stops."
"2024/04/17 2:36:03 pm EET","2-4 times a week","1","4","4","3","1","4","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","I don't know / Not applicable","4","2","4","4","5",""
"2024/04/17 5:55:31 pm EET","2-4 times a month","4","4","4","5","3","3","Ciutat Vella - (La Seu, La Xerea, El Carmen, El Pilar (Velluters), El Mercat, San Francisco)","5","4","4","3","3","5",""
"2024/04/19 4:02:59 pm EET","On a daily basis","5","4","4","3","1","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","3","3","4","3","I don't know / Not applicable","3",""
"2024/04/20 10:30:31 pm EET","2-4 times a week","3","4","2","4","3","4","Benimaclet - (Benimaclet, Camino de Vera)","3","4","1","5","5","5",""
"2024/04/28 2:10:43 pm EEST","2-4 times a month","2","3","3","4","1","1","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","I don't know / Not applicable","4","2","4","3","3",""
"2024/05/07 11:11:35 am EEST","On a daily basis","4","5","3","2","1","4","Benimaclet - (Benimaclet, Camino de Vera)","1","3","1","3","4","4",""
"2024/05/07 11:17:10 am EEST","2-4 times a week","4","5","2","3","2","3","Benicalap - (Benicalap, Ciutat Fallera)","3","I don't know / Not applicable","1","2","2","2",""
"2024/05/07 11:42:04 am EEST","2-4 times a week","4","4","4","2","1","2","Ciutat Vella - (La Seu, La Xerea, El Carmen, El Pilar (Velluters), El Mercat, San Francisco)","3","3","2","4","4","4","We NEED night transport 😊"
"2024/05/07 12:01:36 pm EEST","2-4 times a week","4","5","2","4","2","3","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","3","I don't know / Not applicable","3","I don't know / Not applicable","3","3","During the rush hours the busses can be full, especially when going to the beach. There should be more often busses to the beach when the weather is nice."
"2024/05/07 12:22:51 pm EEST","2-4 times a week","4","5","4","5","3","4","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","2","2","4","I don't know / Not applicable","I don't know / Not applicable","I don't know / Not applicable",""
"2024/05/07 12:26:22 pm EEST","On a daily basis","3","4","3","2","1","2","Jesús - (La Raiosa, L'Hort de Senabre, La Creu Coberta, San Marcelino, Camí Real)","5","4","3","1","3","2","Night buses"
"2024/05/07 1:21:47 pm EEST","On a daily basis","5","4","4","4","2","4","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","3","4","2","4","5","5",""
"2024/05/07 2:07:16 pm EEST","Occasionally","3","4","3","3","2","4","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","4","4","4","3","5","4",""
"2024/05/07 2:16:37 pm EEST","On a daily basis","4","4","3","3","2","3","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","3","3","1","4","4","4",""
"2024/05/07 7:07:03 pm EEST","2-4 times a week","2","5","1","4","3","4","Rascaña - (Orriols, Torrefiel, San Lorenzo)","3","4","1","4","4","5","the buses usually arrive very late and there are no buses during the late night so it's a problem"
